Rate,Depth,Thick,Temp,Perm,Poro,Time,Weight
200,1498,500,80,9,0.1,1,0.073
200,1512,500,80,9,0.1,1,0.073
200,1502,500,80,9,0.1,1,0.073
200,1719,500,80,9,0.1,1,0.073
200,1582,500,80,9,0.1,1,0.073
200,1507,500,80,9,0.1,1,0.073
200,1512,500,80,9,0.1,1,0.073
200,1607,500,80,9,0.1,1,0.073
200,1507,500,80,9,0.1,1,0.073
200,1506,500,80,9,0.1,1,0.073
200,1508,500,80,9,0.1,1,0.073
200,1508,500,80,9,0.1,1,0.073
200,1507,500,80,9,0.1,1,0.073
200,1510,500,80,9,0.1,1,0.073
200,1508,500,80,9,0.1,1,0.073
200,1509,500,80,9,0.1,1,0.073
200,1508,500,80,9,0.1,1,0.073
200,1504,500,80,9,0.1,1,0.073
200,1504,500,80,9,0.1,1,0.073
200,1504,500,80,9,0.1,1,0.073
200,1505,500,80,9,0.1,1,0.073
200,1510,500,80,9,0.1,1,0.073
200,1513,500,80,9,0.1,1,0.073
200,1510,500,80,9,0.1,1,0.073
200,1508,500,80,9,0.1,1,0.073
200,1507,500,80,9,0.1,1,0.073
200,1508,500,80,9,0.1,1,0.073
200,1506,500,80,9,0.1,1,0.073
200,1501,500,80,9,0.1,1,0.073
200,1508,500,80,9,0.1,1,0.073
200,1510,500,80,9,0.1,1,0.073
200,1511,500,80,9,0.1,1,0.073
200,1512,500,80,9,0.1,1,0.073
200,1512,500,80,9,0.1,1,0.073
200,1513,500,80,9,0.1,1,0.073
200,1506,500,80,9,0.1,1,0.073
200,1508,500,80,9,0.1,1,0.073
200,1511,500,80,9,0.1,1,0.073
200,1510,500,80,9,0.1,1,0.073
200,1509,500,80,9,0.1,1,0.073
200,1507,500,80,9,0.1,1,0.073
200,1513,500,80,9,0.1,1,0.073
200,1512,500,80,9,0.1,1,0.073
200,1509,500,80,9,0.1,1,0.073
200,1540,500,80,9,0.1,1,0.073
200,1540,500,80,9,0.1,1,0.073
200,1509,500,80,9,0.1,1,0.073
200,1508,500,80,9,0.1,1,0.073
200,1511,500,80,9,0.1,1,0.073
200,1516,500,80,9,0.1,1,0.073
200,1508,500,80,9,0.1,1,0.073
200,1635,500,80,9,0.1,1,0.073
200,1509,500,80,9,0.1,1,0.073
200,1509,500,80,9,0.1,1,0.073
200,1507,500,80,9,0.1,1,0.073
200,1519,500,80,9,0.1,1,0.073
200,1517,500,80,9,0.1,1,0.073
200,1517,500,80,9,0.1,1,0.073
200,1513,500,80,9,0.1,1,0.073
200,1524,500,80,9,0.1,1,0.073
200,1568,500,80,9,0.1,1,0.073
200,1513,500,80,9,0.1,1,0.073
200,1555,500,80,9,0.1,1,0.073
200,1555,500,80,9,0.1,1,0.073
200,1606,500,80,9,0.1,1,0.073
200,1555,500,80,9,0.1,1,0.073
200,1511,500,80,9,0.1,1,0.073
200,1511,500,80,9,0.1,1,0.073
200,1555,500,80,9,0.1,1,0.073
